iter	Passed	Remaining
0	140	140820
1	141	70741
2	142	47371
3	143	35680
4	144	28675
5	144	24002
6	145	20672
7	146	18170
8	147	16222
9	148	14661
10	148	13384
11	149	12320
12	150	11420
13	151	10648
14	151	9980
15	152	9396
16	153	8882
17	154	8424
18	155	8014
19	156	7646
20	156	7315
21	157	7012
22	158	6733
23	159	6478
24	160	6244
25	160	6029
26	161	5829
27	162	5644
28	163	5471
29	164	5310
30	165	5160
31	165	5018
32	166	4885
33	167	4760
34	168	4641
35	169	4528
36	169	4421
37	170	4319
38	171	4223
39	172	4131
40	172	4044
41	173	3962
42	174	3882
43	175	3805
44	175	3733
45	176	3664
46	177	3598
47	178	3534
48	179	3474
49	179	3417
50	180	3365
51	181	3313
52	182	3263
53	183	3215
54	184	3168
55	185	3122
56	186	3078
57	186	3035
58	187	2995
59	188	2955
60	189	2915
61	190	2877
62	190	2839
63	191	2804
64	192	2769
65	193	2735
66	194	2705
67	194	2669
68	195	2638
69	196	2608
70	197	2579
71	197	2550
72	198	2522
73	199	2495
74	200	2468
75	200	2442
76	201	2417
77	202	2392
78	203	2368
79	203	2345
80	204	2322
81	205	2300
82	206	2279
83	207	2259
84	207	2236
85	208	2216
86	209	2195
87	209	2176
88	210	2157
89	211	2139
90	212	2122
91	213	2104
92	214	2087
93	214	2071
94	215	2054
95	216	2037
96	217	2021
97	217	2005
98	218	1989
99	219	1974
100	220	1959
101	220	1941
102	221	1927
103	222	1913
104	222	1899
105	223	1885
106	224	1872
107	225	1858
108	225	1846
109	226	1833
110	227	1820
111	228	1808
112	228	1795
113	229	1784
114	230	1772
115	230	1759
116	231	1748
117	232	1737
118	233	1725
119	233	1714
120	234	1704
121	235	1694
122	235	1681
123	236	1671
124	237	1662
125	238	1652
126	239	1643
127	239	1632
128	240	1623
129	241	1614
130	242	1605
131	242	1596
132	243	1587
133	244	1578
134	245	1570
135	245	1561
136	246	1553
137	247	1543
138	247	1535
139	248	1527
140	249	1519
141	250	1511
142	251	1504
143	251	1496
144	252	1489
145	253	1481
146	254	1474
147	254	1466
148	255	1459
149	256	1452
150	257	1445
151	257	1438
152	258	1431
153	259	1425
154	260	1418
155	260	1411
156	261	1405
157	262	1398
158	263	1392
159	264	1386
160	264	1380
161	265	1373
162	266	1367
163	267	1361
164	267	1355
165	268	1349
166	269	1343
167	270	1338
168	270	1332
169	271	1326
170	272	1321
171	273	1315
172	274	1309
173	274	1304
174	275	1299
175	276	1293
176	277	1288
177	277	1283
178	278	1278
179	279	1273
180	279	1266
181	280	1261
182	281	1256
183	282	1252
184	283	1247
185	283	1242
186	284	1237
187	285	1232
188	286	1227
189	286	1223
190	287	1218
191	288	1213
192	289	1209
193	289	1204
194	290	1200
195	291	1196
196	293	1196
197	294	1191
198	295	1187
199	296	1184
200	296	1180
201	297	1176
202	298	1172
203	299	1168
204	300	1164
205	301	1161
206	302	1157
207	303	1156
208	304	1153
209	305	1149
210	306	1146
211	307	1142
212	308	1138
213	308	1134
214	309	1130
215	310	1126
216	311	1123
217	312	1119
218	312	1115
219	313	1112
220	314	1108
221	315	1105
222	316	1101
223	316	1098
224	317	1094
225	318	1091
226	319	1088
227	320	1085
228	321	1082
229	322	1078
230	323	1075
231	323	1072
232	324	1069
233	325	1065
234	326	1062
235	327	1059
236	328	1056
237	328	1052
238	329	1049
239	330	1046
240	331	1043
241	333	1044
242	334	1041
243	335	1038
244	335	1035
245	336	1032
246	337	1028
247	338	1025
248	339	1022
249	339	1019
250	340	1016
251	341	1013
252	342	1009
253	342	1006
254	343	1003
255	344	1000
256	345	997
257	345	994
258	346	991
259	347	988
260	348	985
261	348	982
262	349	979
263	350	978
264	351	976
265	352	973
266	353	971
267	354	968
268	355	965
269	356	962
270	356	960
271	357	957
272	358	954
273	359	952
274	360	949
275	360	946
276	361	943
277	362	941
278	363	938
279	364	936
280	365	934
281	365	931
282	366	928
283	367	926
284	368	924
285	369	921
286	370	919
287	371	917
288	371	914
289	372	912
290	373	910
291	374	908
292	375	906
293	376	904
294	377	902
295	378	900
296	379	898
297	380	896
298	381	894
299	382	892
300	383	890
301	384	888
302	385	886
303	385	883
304	386	881
305	387	879
306	388	877
307	389	875
308	390	873
309	391	870
310	392	869
311	393	867
312	394	865
313	395	863
314	395	861
315	396	858
316	397	856
317	398	854
318	399	852
319	400	850
320	401	849
321	402	847
322	403	846
323	404	843
324	405	841
325	406	840
326	407	838
327	408	836
328	408	834
329	409	831
330	410	829
331	411	827
332	412	825
333	412	823
334	413	821
335	414	818
336	415	816
337	415	814
338	416	812
339	417	810
340	418	808
341	419	806
342	419	804
343	420	802
344	421	800
345	422	798
346	423	796
347	423	794
348	424	792
349	425	790
350	426	788
351	427	786
352	427	784
353	428	782
354	429	780
355	430	778
356	431	776
357	431	774
358	432	772
359	433	770
360	434	768
361	435	766
362	435	764
363	437	763
364	437	761
365	438	759
366	439	758
367	440	756
368	441	754
369	441	752
370	442	750
371	443	748
372	444	747
373	445	745
374	445	743
375	446	741
376	447	739
377	448	737
378	449	736
379	449	734
380	450	732
381	451	730
382	452	728
383	453	726
384	453	725
385	454	723
386	455	721
387	456	719
388	456	717
389	457	715
390	458	714
391	459	712
392	460	710
393	461	709
394	461	707
395	462	705
396	463	704
397	464	702
398	465	700
399	465	698
400	466	697
401	467	695
402	468	693
403	468	691
404	469	690
405	470	688
406	471	686
407	471	684
408	472	683
409	473	681
410	474	679
411	475	677
412	475	676
413	476	674
414	477	672
415	478	671
416	478	669
417	479	667
418	480	666
419	481	664
420	481	662
421	482	661
422	483	659
423	484	657
424	484	656
425	485	654
426	486	652
427	487	651
428	487	649
429	488	647
430	489	646
431	490	644
432	490	642
433	491	641
434	492	639
435	493	638
436	494	636
437	495	635
438	495	633
439	496	632
440	497	630
441	498	628
442	498	627
443	499	625
444	500	624
445	501	622
446	501	620
447	502	619
448	503	617
449	504	616
450	504	614
451	505	613
452	506	611
453	507	610
454	508	608
455	508	607
456	509	605
457	510	604
458	511	602
459	512	601
460	512	599
461	513	598
462	514	596
463	515	595
464	516	593
465	517	592
466	517	590
467	518	589
468	519	588
469	520	586
470	521	585
471	521	583
472	522	582
473	523	580
474	524	579
475	525	578
476	525	576
477	526	575
478	527	573
479	528	572
480	528	570
481	529	569
482	530	567
483	531	566
484	532	565
485	532	563
486	533	562
487	534	560
488	535	559
489	536	557
490	536	556
491	537	555
492	538	553
493	539	552
494	539	550
495	540	549
496	541	547
497	542	546
498	542	545
499	543	543
500	544	542
501	545	540
502	545	539
503	546	538
504	547	536
505	548	535
506	548	533
507	549	532
508	550	531
509	551	529
510	551	528
511	552	526
512	553	525
513	554	524
514	555	522
515	555	521
516	556	520
517	557	518
518	558	517
519	559	516
520	559	514
521	560	513
522	561	511
523	562	510
524	562	509
525	563	508
526	564	506
527	565	505
528	566	504
529	567	502
530	568	501
531	569	500
532	569	499
533	570	497
534	571	496
535	572	495
536	573	494
537	573	492
538	574	491
539	575	490
540	576	488
